縣市別,"機構
名稱","機構
地址",區碼,"聯絡
電話",分機,"平日
給藥時間","假日
給藥時間","其他給藥時間
（如：國定假日、春節…等）","轉入
掛號費","跨區給藥
服務費","轉出
掛號費","跨區給藥
評估費",注意事項,緯度 (lat),經度 (lng)
臺北市,臺北市立聯合醫院林森中醫昆明院區,臺北市萬華區昆明街100號4樓,2,23703739,1209,"07:30~08:30
12:30~20:00","07:30~08:30
12:30~20:00",農曆年節期間及颱風08:00~17:00,50元/次,150元/日,50元/次,300元/次,,25.044118,121.504991
臺北市,三軍總醫院北投分院附設民眾診療服務處,臺北市北投區新民路60號,2,28959808,603882,12:00~19:30,"12:30~14:30
16:30~19:30",無,150元/次,150元/日,150元/次,300元/次,,25.139805,121.509701
新北市,天主教耕莘醫療財團法人耕莘醫院,新北市新店區中正路362號,2,22193391,66908,"11:00~14:00
17:30~18:30",12:30~15:30,"1.若平日遇天災，新北市宣布停止上班則改為假日服藥時間。
2.院內節日(如聖誕節)亦為假日服藥時間。
3.本院遇國定連續假日時未採用彈性放假，請務必事先來電詢問服藥時間。",0元,25元/日,100元/次,300元/次,欲跨區服藥個案，請2天前來電詢問服藥時間及其他注意事項。,24.976084,121.535619
新北市,新北市立聯合醫院（板橋院區）,新北市板橋區英士路198號,2,22575151,2166,08:00~09:00 11:30~19:00,08:50~12:10,無,50元/次,150元/日,50元/次,300元/次,請個案務必先致電(02)2257-5151分機2166個管師，了解服藥規定與動線。,25.023684,121.457708
新北市,新北市立聯合醫院（三重院區),新北市三重區新北大道一段3號,2,29829111,3182,07:30~08:30 12:30~16:30,08:30~11:30,無,50元/次,150元/日,50元/次,300元/次,請個案務必先致電 (02)0982-9111分機3182個管師，了解服藥規定與動線。,25.060869,121.49084
新北市,醫療財團法人徐元智先生醫藥基金會亞東紀念醫院,新北市板橋區南雅南路2段21號,2,77282452,,"07:30~13:00
15:00~18:00",08:00~11:00,8:00~11:00,150元/次,150元/日,0元,0元,"一、跨院區給藥患者，請於預定服藥日前三個工作日內上班時間致電個管師，確認初診事宜；欲於假日辦理服藥報到之個案，請於星期一至星期五上班時間與個管師聯絡，以利先行開立批價單。
二、初次報到時間為上午10:00前，逾期不受理。
三、如線上轉診之個案資訊提供不足，將請轉出醫院協助補充。
四、轉入跨區費用一次付清，且不予以退費。
五、服藥時請攜帶雙證件與專用處方箋。",24.997313,121.452312
新北市,行天宮醫療志業醫療財團法人恩主公醫院,新北市三峽區復興路399號,2,26723456,6118,08:30~13:30,08:30~11:00,8:30~11:00,0元,150元/日,0元,0元,"跨區個案務必先致電(02)2672-3456分機6118，詢問服藥規定及報到時間。
",24.938385,121.363008
新北市,衛生福利部樂生療養院,"新北市新莊區中正路
794號
桃園市龜山區萬壽路1段50巷2號",2,82006600,2151,07:30~16:00,08:00~12:00,8:00~12:00,120元/次,150元/日,120元/次,300元/次,本院採一次性收費，當次給藥期間臨時轉回或其他因素無法服藥，均不退費敬請配合。,25.020141,121.407525
臺中市,中國醫藥大學附設醫院,臺中市北區育德路2號,4,22052121,"11183
給藥處
15124","07:00~10:00
12:00~17:30
18:30~22:00","07:00~10:00
12:00~17:30
18:30~22:00",無,150元/次,35元/日,0元,0元,,24.157218,120.680903
臺中市,臺中榮民總醫院,臺中市西屯區臺灣大道四段1650號,4,23592525,1116,"07:00~08:30
12:00~17:00",07:00~11:00,07:00 ~ 11:00,150元/次,20元/日,150元/次,300元/次,"一、有本院病歷號者：至戒癮門診報到、領取帳單→前往櫃檯繳費→至戒癮門診服藥。
二、無本院病歷號者：指未曾來過本院就醫、無就診資料者，持雙證件至櫃檯辦理。
辦理櫃台(平日：門診掛號櫃檯/假日：戒癮門診)→至戒癮門診報到、領取帳單→前往櫃檯繳費→至戒癮門診服藥。
三、轉入跨區費用一次付清，且不予以退費。",24.184299,120.604647
