序號,縣市,機構名稱,機構地址,聯絡電話,藥癮_藥物治療,藥癮_維持治療_美沙冬,藥癮_維持治療_丁基原啡因,藥癮_心理治療,藥癮_家族治療,藥癮_職能治療,藥癮_個案管理,藥癮_生活重建,藥癮_美沙冬跨區給藥,藥癮_美沙冬給藥點,酒癮_藥物治療,酒癮_心理治療,酒癮_家族治療,酒癮_職能治療,酒癮_個案管理,酒癮_生活重建,經度 (lng),緯度 (lat)
1,臺北市,臺北市立聯合醫院（松德院區）,臺北市信義區松德路309號,02-27263141,V,V,V,V,V,V,V,,,,V,V,V,V,V,,121.574884,25.03048
2,臺北市,臺北市立聯合醫院（林森中醫昆明院區）,臺北市萬華區昆明街100號4樓,02-23703739,V,V,V,V,V,V,V,,V,,,,,,,,121.504991,25.044118
3,臺北市,臺北市立聯合醫院（仁愛院區）,臺北市大安區仁愛路四段10號,02-27093600,V,,,V,V,V,V,,,,,,,,,,121.545302,25.03754
4,臺北市,臺北市立聯合醫院（中興院區）,臺北市大同區玉泉里鄭州路145號,02-25523234,V,,,,,,,,,,,,,,,,121.508887,25.050692
5,臺北市,臺北市立聯合醫院（忠孝院區）,臺北市南港區同德路87號,02-27861288,V,,,,,,,,,,,,,,,,121.586157,25.046506
6,臺北市,臺北市立聯合醫院（陽明院區）,臺北市士林區雨聲街105號9樓,02-28353456,V,V,V,V,V,V,V,,,,,,,,,,121.531566,25.105194
7,臺北市,臺北市立聯合醫院（和平婦幼院區）,臺北市中正區中華路二段33號,02-23889595,V,,,,,,,,,,,,,,,,121.506703,25.035591
8,臺北市,國立台灣大學醫學院附設醫院,臺北市中正區中山南路7號,02-23123456,V,,,V,V,V,V,,,,V,V,V,,,,121.518558,25.040776
9,臺北市,三軍總醫院北投分院附設民眾診療服務處,臺北市北投區林泉里新民路60號,02-28959808,V,V,V,V,V,V,V,,V,,,,,,,,121.509701,25.139804
10,臺北市,三軍總醫院附設民眾診療服務處,臺北市內湖區成功路2段325號,02-87923311,V,,V,V,V,V,V,V,,,V,V,V,V,V,V,121.591982,25.0718
11,臺北市,臺北榮民總醫院,臺北市北投區石牌路二段201號,02-28757027,,,,,,,,,,,V,V,V,V,V,,121.519166,25.119181
12,臺北市,臺北市立關渡醫院（委託臺北榮民總醫院經營）,臺北市北投區知行路225巷12號,02-28587000,,,,,,,,,,,V,V,V,V,V,V,121.466358,25.120187
13,臺北市,長庚醫療財團法人臺北長庚紀念醫院,臺北市松山區敦化北路199號,02-27135211,,,,,,,,,,,V,,,,V,,121.549618,25.055508
14,臺北市,基督復臨安息日會醫療財團法人臺安醫院,臺北市松山區八德路二段424,02-27718151,,,,,,,,,,,V,,,,,,121.547276,25.048052
15,臺北市,國泰醫療財團法人國泰綜合醫院,臺北市大安區仁愛路四段280號,02-26482121,V,,,V,V,V,V,,,,V,V,V,V,V,,121.553693,25.036942
16,臺北市,台灣基督長老教會馬偕醫療財團法人馬偕紀念醫院,臺北市中山區中山北路二段92號,02-25433535,,,,,,,,,,,V,V,V,,V,,121.522558,25.058883
17,臺北市,新光醫療財團法人新光吳火獅紀念醫院,臺北市士林區文昌路95號,02-28332211,V,,,V,V,,V,,,,V,V,V,,V,,121.520289,25.09624
18,臺北市,臺北醫學大學附設醫院,臺北市信義區吳興街252號,02-27372181,V,,,V,V,V,V,,,,V,V,V,V,V,,121.563638,25.026637
19,臺北市,臺北市立萬芳醫院（委託臺北醫學大學辦理）,臺北市文山區興隆路三段111號,02-29307930,V,,,V,V,V,V,,,,V,V,V,V,V,,121.55833,25.000305
20,臺北市,李政洋身心診所,臺北市松山區三民路84號、健康路345號,02-27620086,,,,,,,,,,,V,V,V,,V,,121.563837,25.056502
21,臺北市,交感身心診所,臺北市大安區信義路四段143號4樓,02-77306840,V,,,V,V,,V,V,,,V,V,V,,V,V,121.549612,25.033456
22,臺北市,開馨診所,臺北市南港區南港路二段38巷6-1號1樓,02-26532987,,,,V,,,,,,,,,,,,,121.604802,25.054701
23,臺北市,中崙諮商中心心理諮商所,臺北市大安區忠孝東路三段54號,02-27319731,,,,,,,,,,,,V,V,,V,,121.535562,25.041727
24,臺北市,利伯他茲心理諮商所,臺北市文山區明義里木柵路二段62號2樓,02-29361183,,,,V,V,,V,,,,,V,V,,V,,121.559248,24.988631
25,臺北市,以賽亞心理諮商所,臺北市中山區吉林路231號3樓,0933569611,,,,V,V,,,,,,,V,V,,,,121.530376,25.060921
26,新北市,新北市立聯合醫院（三重院區）,新北市三重區新北大道一段3號,02-29829111,V,V,V,V,V,,V,,V,,V,V,V,,,,121.49084,25.060869
27,新北市,新北市立聯合醫院（板橋院區）,新北市板橋區英士路198號,02-29829111,V,V,V,V,V,,V,,V,,V,V,V,,,,121.457708,25.023683
28,新北市,衛生福利部樂生醫院,新北市新莊區中正路794號,02-82006600,V,V,,,,,V,,V,,,,,,,,121.409851,25.021622
29,新北市,衛生福利部臺北醫院,新北市新莊區思源路127號,02-22765566,V,V,V,V,V,V,V,,,,,,,,,,121.459622,25.04324
30,新北市,衛生福利部八里療養院,新北市八里區華富山33號,02-26101660,V,V,V,V,V,V,V,,,,V,V,V,V,V,,121.416,25.1311
31,新北市,醫療財團法人徐元智先生醫藥基金會亞東紀念醫院,新北市板橋區南雅南路二段21號,02-89667000,V,V,V,V,V,V,V,,V,,V,V,V,V,V,,121.452312,24.997312
32,新北市,佛教慈濟醫療財團法人臺北慈濟醫院,新北市新店區建國路289號,02-66289779,V,,,V,V,V,V,,,,V,V,V,V,V,,121.535808,24.98578
33,新北市,行天宮醫療志業醫療財團法人恩主公醫院,新北市三峽區復興路399號,02-26723456,,V,V,V,,V,V,,V,,,,,,,,121.363007,24.938385
34,新北市,臺灣基督長老教會馬偕醫療財團法人淡水馬偕紀念醫院,新北市淡水區民生路45號,02-28094661,V,,V,V,,,V,,,,V,V,V,,V,,121.460499,25.139534
35,新北市,國泰醫療財團法人汐止國泰綜合醫院,新北市汐止區建成路59巷2號,02-26482121,V,,,V,V,V,V,,,,V,V,V,V,V,,121.661084,25.072872
36,新北市,新北市立土城醫院（委託長庚醫療財團法人興建經營）,新北市土城區金城路二段6號,02-22630588,V,,V,V,V,V,,,,,,,,,,,121.44873,24.976437
37,新北市,天主教耕莘醫療財團法人耕莘醫院,新北市新店區百和里中正路362號,02-22193391,V,V,V,V,V,V,V,,V,,V,V,V,,V,,121.535619,24.976084
38,新北市,衛生福利部雙和醫院（委託臺北醫學大學興建經營）,新北市中和區中正路291號,02-22490088,V,,V,V,V,V,,,,,V,V,V,V,,,121.494082,24.993746
39,新北市,輔仁大學學校財團法人輔仁大學附設醫院,新北市泰山區貴賢里9鄰貴子路69號,02-85128888,,,,,,,,,,,V,V,,V,,,121.430798,25.039676
40,新北市,安興精神科診所,新北市三重區重新路三段132號1樓,02-29743029,V,,V,V,V,,V,,,,V,V,V,,V,,121.491693,25.059788
41,新北市,楊聰才診所,新北市新店區中興路二段239號2樓,02-29181299,,,,,,,,,,,V,V,V,,V,,121.547304,24.975276
42,新北市,恆友精神科診所,新北市新莊區幸福東路135號,02-29907909,V,,V,V,V,,V,,,,V,V,V,,V,,121.46089,25.04934
43,基隆市,南光神經精神科醫院,基隆市安樂區基金一路91號,02-24310023,,,,,,,,,,,,V,,,,,121.718563,25.138297
44,基隆市,衛生福利部基隆醫院,基隆市信義區信二路268號,02-24292525,V,V,V,V,,,V,,V,,,,,,,,121.748322,25.130455
45,基隆市,維德醫療社團法人基隆維德醫院,基隆市中正區調和街210號,02-24696688,V,,V,V,V,V,V,,,,V,V,V,V,V,,121.799077,25.130445
46,基隆市,長庚醫療財團法人基隆長庚紀念醫院,基隆市安樂區新崙里基金一路208巷200號,02-24329292,V,V,,V,,,V,,V,,,V,,V,V,,121.707717,25.148064
47,基隆市,暘基醫院,基隆市安樂區基金一路129巷8號,02-24322522,,,,,,,,,,,V,V,V,V,V,,121.714534,25.138992
48,桃園市,衛生福利部桃園醫院,桃園市桃園區中山路1492號,03-3699721,V,,V,V,V,V,V,,,,V,V,V,V,V,,121.268092,24.977705
49,桃園市,衛生福利部桃園療養院,桃園市桃園區龍壽街71號,03-3698553,V,V,V,V,V,V,V,,V,,V,V,V,V,V,,121.268176,24.979272
50,桃園市,國軍桃園總醫院附設民眾診療服務處,桃園市龍潭區中興里中興路168號,03-4799595,,V,V,V,,,V,,V,,,,,,,,121.234977,24.874464
51,桃園市,臺北榮民總醫院桃園分院,桃園市桃園區成功路三段100號,03-3384889,V,V,,V,V,V,V,,V,,V,V,V,V,V,,121.325315,25.003741
52,桃園市,長庚醫療財團法人林口長庚紀念醫院,桃園市龜山區公西里復興街5號,03-3281200,V,,V,V,,,V,,,,V,V,,,V,,121.367317,25.061318
53,桃園市,敏盛綜合醫院,桃園市桃園區經國路168號,03-3179599,V,,,V,,,,,,,,,,,,,121.306174,25.016313
54,桃園市,居善醫院,桃園市大園區南港里大觀路910號,03-3866511,V,,V,V,,V,,,,,,V,,,,,121.165643,25.058696
55,桃園市,周孫元診所,桃園市桃園區龍安里龍城五街62號,03-3792260,,,V,V,,,V,,,,,,,,,,121.269831,24.980099
56,桃園市,新楊梅診所,桃園市楊梅區環東路476號,03-4856530,,,V,,,,,,,,,,,,,,121.15683,24.910416
57,桃園市,廢墟花園心理諮商所,桃園市桃園區大有路632號2F,"03-3334-889
0911-609099",,,,,,,,,,,,V,V,,V,,121.317082,25.015546
58,桃園市,桃園市大園區衛生所,桃園市大園區田心里中正西路19號,03-3862024,,V,,,,,,,,V,,,,,,,121.195483,25.063355
59,桃園市,桃園市觀音區衛生所,桃園市觀音區觀新路58號,03-4732031,,"V
114.9.1起暫停",,,,,,,,"V
114.9.1起暫停",,,,,,,121.083751,25.027823
60,桃園市,桃園市大溪區衛生所,桃園市大溪區仁愛路1號,03-3882401,,V,,,,,,,,V,,,,,,,121.285576,24.884533
61,新竹縣,國立臺灣大學醫學院附設醫院新竹臺大分院生醫醫院竹東院區,新竹縣竹東鎮至善路52號,03-5943248,V,V,V,V,,,V,,V,,V,,,,V,,121.09356,24.718675
62,新竹縣,臺北榮民總醫院新竹分院,新竹縣竹東鎮中豐路一段81號,03-5962134,,,,V,,,V,,,,,,,,,,121.099575,24.722702
63,新竹縣,天主教仁慈醫療財團法人仁慈醫院,新竹縣湖口鄉孝勢村忠孝路29號,03-5993500,V,,V,V,V,V,V,,,,,,,,,,121.045458,24.900558
64,新竹縣,中國醫藥大學新竹附設醫院,新竹縣竹北市興隆路一段199號,03-5580558,V,,,V,,,V,,,,,,,,,,121.001988,24.824037
65,新竹市,國立臺灣大學醫學院附設醫院新竹臺大分院新竹醫院,新竹市北區金華里經國路一段442巷25號,03-5326151,V,V,V,V,V,V,V,V,V,,V,V,V,V,V,V,120.980615,24.815873
66,新竹市,國軍桃園總醫院新竹分院附設民眾診療服務處,新竹市北區武陵路3號,0972765931,V,,V,V,V,V,V,,,,V,V,V,V,V,,120.962391,24.815372
67,新竹市,林正修診所,新竹市東區新光路38號,03-5166746,V,,V,V,V,,V,V,,,V,V,V,,V,V,120.98869,24.801973
68,苗栗縣,衛生福利部苗栗醫院,苗栗縣苗栗市為公路747號,03-7261920,V,V,,V,V,V,V,,V,,V,V,,,,,120.840405,24.575655
69,苗栗縣,大千醫療社團法人南勢醫院,苗栗縣苗栗市南勢里南勢52號,03-7369936,V,,V,V,,V,V,,,,,V,,,,,120.791,24.522
70,苗栗縣,為恭醫療財團法人為恭紀念醫院,苗栗縣頭份市信義路128號,03-7676811,V,V,V,V,V,V,V,,V,,V,V,V,V,V,,120.907345,24.687096
71,苗栗縣,李綜合醫療社團法人苑裡李綜合醫院,苗栗縣苑裡鎮和平路168號,03-7862387,V,V,,,,,,,,,,,,,,,120.65272,24.44182
72,臺中市,衛生福利部臺中醫院,臺中市西區三民路一段199號,04-22294411,V,V,V,V,V,V,V,,V,,V,V,V,V,V,,120.675711,24.140225
73,臺中市,衛生福利部豐原醫院,臺中市豐原區安康路100號,04-25271180,V,V,,V,,V,V,,,,V,V,V,V,V,,120.725292,24.242706
74,臺中市,國軍臺中總醫院附設民眾診療服務處,臺中市太平區中山路二段348號,04-23934191,,V,,V,,,V,,V,,,,,,,,120.730101,24.150814
75,臺中市,臺中榮民總醫院,臺中市西屯區臺灣大道四段1650號,04-23592525,V,V,V,V,V,V,V,,V,,V,V,V,V,V,,120.604647,24.184298
76,臺中市,維新醫療社團法人臺中維新醫院,臺中市北區育德路185號,04-22038585,V,V,V,V,V,V,V,V,V,,V,V,V,V,V,V,120.672319,24.157138
77,臺中市,光田醫療社團法人光田綜合醫院（大甲院區）,臺中市大甲區新美里經國路321號,04-26885599,V,V,,V,V,V,V,V,,,V,,,,V,,120.616657,24.346578
